[1203/121029.854:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1203/135655.415:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1203/170413.079:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1203/202337.461:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1208/195618.149:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0318/104622.400:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[0323/184212.202:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir16532_6519\Crashpad: The system cannot find the file specified. (0x2)
[0323/184244.571:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir14556_21776\Crashpad: The system cannot find the file specified. (0x2)
[0323/184919.057:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir1760_13202\Crashpad: The system cannot find the file specified. (0x2)
[0323/185515.419:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir15496_11680\Crashpad: The system cannot find the file specified. (0x2)
[0323/191019.261:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir10480_6510\Crashpad: The system cannot find the file specified. (0x2)
[0323/191541.259:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir3840_6659\Crashpad: The system cannot find the file specified. (0x2)
[0323/192038.895:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir13480_2781\Crashpad: The system cannot find the file specified. (0x2)
[0323/192416.358:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir5592_21409\Crashpad: The system cannot find the file specified. (0x2)
[0323/200301.313:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir13388_12954\Crashpad: The system cannot find the file specified. (0x2)
[0323/204955.536:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir5560_18725\Crashpad: The system cannot find the file specified. (0x2)
[0323/205520.108:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir12980_10709\Crashpad: The system cannot find the file specified. (0x2)
[0323/205628.458:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir12996_26848\Crashpad: The system cannot find the file specified. (0x2)
[0323/205652.874:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir15304_32105\Crashpad: The system cannot find the file specified. (0x2)
[0323/210338.298:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir15824_6202\Crashpad: The system cannot find the file specified. (0x2)
[0323/210844.916:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir10544_32334\Crashpad: The system cannot find the file specified. (0x2)
[0323/211033.937:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir16664_19902\Crashpad: The system cannot find the file specified. (0x2)
[0323/211423.535:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir13344_31124\Crashpad: The system cannot find the file specified. (0x2)
[0323/211532.440:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir16752_7820\Crashpad: The system cannot find the file specified. (0x2)
[0323/211547.903:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir18964_28907\Crashpad: The system cannot find the file specified. (0x2)
[0323/211636.993:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir20228_8962\Crashpad: The system cannot find the file specified. (0x2)
[0323/212105.741:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir17112_20513\Crashpad: The system cannot find the file specified. (0x2)
[0323/212317.974:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir1696_4541\Crashpad: The system cannot find the file specified. (0x2)
[0323/120600.902:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir20348_28724\Crashpad: The system cannot find the file specified. (0x2)
[0324/112721.145:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir4200_20017\Crashpad: The system cannot find the file specified. (0x2)
[0324/112931.037:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir18772_15104\Crashpad: The system cannot find the file specified. (0x2)
[0324/113152.321:ERROR:crash_report_database_win.cc(585)] GetFileAttributes C:\Users\PCTR45~1\AppData\Local\Temp\scoped_dir12872_32377\Crashpad: The system cannot find the file specified. (0x2)
